turnid	ROUGE1-R	MRR	Exact match	F1
25_3	1.000000	0.500000	0.000000	0.098765
25_4	1.000000	0.000000	0.000000	0.050000
25_5	1.000000		0.000000	0.225806
25_6	1.000000		0.000000	0.095238
25_7	0.875000		0.000000	0.037037
25_8	0.888889	0.000000	0.000000	0.074074
25_9	1.000000		0.000000	0.150000
26_2	1.000000	0.000000	0.000000	0.200000
26_3	1.000000	0.000000	0.000000	0.382979
26_4	0.888889	0.000000	0.000000	0.139535
26_5	0.857143	0.000000	0.000000	0.185185
26_6	0.600000		0.000000	0.193548
26_7	0.777778		0.000000	0.205128
26_8	0.800000		0.000000	0.000000
27_2	0.750000		0.000000	0.212766
27_3	0.909091		0.000000	0.081633
27_4	1.000000	0.000000	0.000000	0.145455
27_5	0.833333		0.000000	0.245614
27_6	1.000000		0.000000	0.240000
27_7	1.000000		0.000000	0.181818
28_2	0.714286		0.000000	0.142857
28_3	1.000000		0.000000	0.145455
28_4	1.000000		0.000000	0.000000
28_5	1.000000		0.000000	0.206897
28_6	1.000000			
28_7	1.000000		0.000000	0.177215
29_2	0.666667	0.000000	0.000000	0.470588
29_3	1.000000	0.000000	0.000000	0.235294
29_4	1.000000		0.000000	0.250000
29_5	0.833333	0.000000	0.000000	0.193548
29_6	1.000000		0.000000	0.285714
29_7	1.000000	0.000000	0.000000	0.160000
29_8	0.888889	0.500000	0.000000	0.177778
29_9	0.857143		0.000000	0.097561
30_2	1.000000		0.000000	0.297872
30_3	1.000000		0.000000	0.121212
30_4	1.000000		0.000000	0.230769
30_5	1.000000		0.000000	0.214286
30_6	1.000000		0.000000	0.212121
30_7	1.000000		0.000000	0.000000
31_2	1.000000	0.000000	0.000000	0.162162
31_3	1.000000		0.000000	0.327869
31_4	0.833333		0.000000	0.122449
31_5	1.000000		0.000000	0.179104
31_6	1.000000		0.000000	0.177778
31_7	1.000000	0.500000	0.000000	0.266667
31_8	1.000000			
31_9	0.750000		0.000000	0.358974
32_2	1.000000	0.000000	0.000000	0.222222
32_3	1.000000	0.000000	0.000000	0.125000
32_4	1.000000		0.000000	0.315789
32_5	0.714286		0.000000	0.328767
32_6	0.500000	0.000000	0.000000	0.222222
32_7	0.800000	0.000000	0.000000	0.181818
32_8	0.600000		0.000000	0.097561
32_9	0.800000	0.500000	0.000000	0.259259
32_10	0.800000	0.333333	0.000000	0.216216
32_11	0.727273		0.000000	0.000000
33_2	0.857143		0.000000	0.150943
33_3	1.000000		0.000000	0.000000
33_4	1.000000		0.000000	0.250000
33_5	0.875000	0.500000	0.000000	0.256410
33_6	0.916667		0.000000	0.315789
33_7	0.900000		0.000000	0.222222
33_8	0.727273		0.000000	0.285714
33_9	0.785714		0.000000	0.125000
33_10	1.000000	1.000000	0.000000	0.690909
34_2	0.777778		0.000000	0.101695
34_3	1.000000	0.000000	0.000000	0.111111
34_4	0.700000	0.000000	0.000000	0.148148
34_5	0.818182	0.000000	0.000000	0.102564
34_6	0.714286	0.000000	0.000000	0.000000
34_7	0.555556	0.000000	0.000000	0.000000
34_8	0.714286	0.000000	0.000000	0.105263
34_9	0.571429		0.000000	0.064516
35_2	1.000000		0.000000	0.101266
35_3	1.000000	0.500000	0.000000	0.203390
35_4	0.777778		0.000000	0.000000
35_5	1.000000		0.000000	0.208333
35_6	0.875000		0.000000	0.157895
35_7	1.000000		0.000000	0.033898
35_8	1.000000		0.000000	0.041667
35_9	1.000000	0.000000	0.000000	0.145455
36_2	1.000000	0.000000	0.000000	0.237288
36_3	1.000000		0.000000	0.205128
36_4	1.000000		0.000000	0.578947
36_5	1.000000		0.000000	0.163265
36_6	0.818182	1.000000	0.000000	0.210526
36_7	0.285714	0.000000	0.000000	0.046512
36_8	0.857143	0.333333	0.000000	0.135593
36_9	0.625000	0.000000	0.000000	0.181818
36_10	1.000000	0.500000	0.000000	0.257143
36_11	1.000000	1.000000	0.000000	0.323529
37_2	1.000000		0.000000	0.181818
37_3	1.000000		0.000000	0.676056
37_4	0.800000		0.000000	0.187500
37_5	0.777778		0.000000	0.000000
37_6	1.000000	0.000000	0.000000	0.178571
37_7	1.000000		0.000000	0.214286
