turnid	ROUGE1-R	MRR	Exact match	F1	ROUGEL-F1
361_2	0.500000		0.000000	0.057143	0.047619
361_3	0.777778	0.000000	0.000000	0.000000	0.000000
361_4	0.666667		0.000000	0.086957	0.148148
361_5	0.600000	0.000000	0.000000	0.052632	0.136364
361_6	0.571429		0.000000	0.296296	0.333333
361_7	0.500000	0.000000	0.000000	0.125000	0.137931
361_8	0.454545	0.000000	0.000000	0.000000	0.000000
361_9	0.666667		0.000000	0.153846	0.071429
361_10	0.750000		0.000000	0.333333	0.352941
361_11	0.750000		0.000000	0.074074	0.062500
362_2	0.625000	0.000000	0.000000	0.093023	0.042553
362_3	0.625000	0.000000	0.000000	0.000000	0.000000
362_4	0.818182	0.000000	0.000000	0.000000	0.000000
362_5	0.846154				
363_2	1.000000		0.000000	0.000000	0.000000
363_3	0.875000		0.000000	0.142857	0.125000
363_4	0.888889				
363_5	0.583333		0.000000	0.222222	0.214286
363_6	1.000000		0.000000	0.000000	0.000000
363_7	1.000000		0.000000	0.324324	0.157895
363_8	1.000000		0.000000	0.470588	0.526316
363_9	1.000000		0.000000	0.000000	0.000000
364_2	0.857143		0.000000	0.500000	0.461538
364_3	0.833333	0.000000	0.000000	0.076923	0.071429
364_4	0.857143				
364_5	0.857143		0.000000	0.240000	0.206897
364_6	0.888889		0.000000	0.137931	0.137931
365_2	1.000000		0.000000	0.148148	0.121212
365_3	1.000000		0.000000	0.166667	0.153846
365_4	0.888889	0.500000	1.000000	1.000000	1.000000
365_5	0.916667		0.000000	0.526316	0.500000
366_2	1.000000		0.000000	0.444444	0.400000
366_3	1.000000		0.000000	0.285714	0.181818
366_4	1.000000		0.000000	0.461538	0.428571
366_5	1.000000		0.000000	0.500000	0.480000
366_6	1.000000		0.000000	0.000000	0.000000
367_2	0.909091	0.000000	0.000000	0.052632	0.125000
367_3	0.750000	0.000000	0.000000	0.000000	0.000000
368_2	0.250000	0.000000	0.000000	0.052632	0.093023
368_3	0.555556	0.000000	0.000000	0.000000	0.000000
